"Hugo_Symbol","M1","M2","pval","or","ci.up","ci.low","adjPval"
"HUWE1",6,14,0.00107219885763863,0.201808783658845,0.586827821205182,0.0609652654865558,0.845252972956574
"CPAMD8",20,1,0.00143170650862462,12.0698093608247,507.97897068337,1.86210829145931,0.845252972956574
"ADAM2",22,2,0.00298055612621818,6.65904327002749,59.9007880363126,1.57080051379198,0.845252972956574
"DSG3",22,2,0.00298055612621818,6.65904327002749,59.9007880363126,1.57080051379198,0.845252972956574
"ARAP2",18,1,0.00448205219481156,10.7119320566842,453.212931776702,1.63263628113462,0.845252972956574
"TMPRSS15",17,1,0.004538625410556,10.0471415890734,426.393900180563,1.52034784941114,0.845252972956574
"MECOM",27,4,0.00480691456209347,4.14227087148122,16.8695316537278,1.37247494117776,0.845252972956574
"NKRF",0,5,0.00483254548497138,0,0.570015005134655,0,0.845252972956574
"WDR4",0,5,0.00483254548497138,0,0.570015005134655,0,0.845252972956574
"MUC2",16,1,0.00757432315017557,9.3915227755246,399.940661156325,1.40967964698489,0.845252972956574
"ASZ1",1,6,0.00812108266146643,0.0846520375477813,0.715876881576497,0.00181720601253866,0.845252972956574
"MAGEE1",1,6,0.00812108266146643,0.0846520375477813,0.715876881576497,0.00181720601253866,0.845252972956574
"SCN10A",42,10,0.00844385457280815,2.69497831246989,6.39384837133634,1.237648098231,0.845252972956574
"LIFR",20,2,0.00849796159510048,5.96874398826964,53.9294102206269,1.39249956979996,0.845252972956574
"ADAMTS12",19,2,0.00870148693055375,5.63077841386635,51.0573061579137,1.30520095671894,0.845252972956574
"ACRBP",11,0,0.009393620337439,Inf,Inf,1.40221968928513,0.845252972956574
"COL6A5",11,0,0.009393620337439,Inf,Inf,1.40221968928513,0.845252972956574
"FPR2",11,0,0.009393620337439,Inf,Inf,1.40221968928513,0.845252972956574
"IPCEF1",11,0,0.009393620337439,Inf,Inf,1.40221968928513,0.845252972956574
"MUSK",11,0,0.009393620337439,Inf,Inf,1.40221968928513,0.845252972956574
"RGS6",11,0,0.009393620337439,Inf,Inf,1.40221968928513,0.845252972956574
"ROR2",11,0,0.009393620337439,Inf,Inf,1.40221968928513,0.845252972956574
"STRA6",11,0,0.009393620337439,Inf,Inf,1.40221968928513,0.845252972956574
"TGM7",11,0,0.009393620337439,Inf,Inf,1.40221968928513,0.845252972956574
"UROC1",11,0,0.009393620337439,Inf,Inf,1.40221968928513,0.845252972956574
"FOLH1",12,0,0.00950650890969797,Inf,Inf,1.56189359425662,0.845252972956574
"OR4N5",12,0,0.00950650890969797,Inf,Inf,1.56189359425662,0.845252972956574
"SUPT6H",12,0,0.00950650890969797,Inf,Inf,1.56189359425662,0.845252972956574
"TAT",12,0,0.00950650890969797,Inf,Inf,1.56189359425662,0.845252972956574
"ZSCAN5A",2,7,0.00985843069231717,0.144031849016103,0.779720061411771,0.014257298611866,0.845252972956574
"ABCC11",15,1,0.0128903311312985,8.74488685269336,373.845818112289,1.30053798834255,0.845252972956574
"PAH",15,1,0.0128903311312985,8.74488685269336,373.845818112289,1.30053798834255,0.845252972956574
"SETX",15,1,0.0128903311312985,8.74488685269336,373.845818112289,1.30053798834255,0.845252972956574
"TNN",21,3,0.0137244924306778,4.1608312748357,22.4424589316092,1.18834576891224,0.845252972956574
"AKR1C4",10,0,0.0162847608153156,Inf,Inf,1.24488790268269,0.845252972956574
"CACNA1G",10,0,0.0162847608153156,Inf,Inf,1.24488790268269,0.845252972956574
"CILP2",10,0,0.0162847608153156,Inf,Inf,1.24488790268269,0.845252972956574
